District,Season,Soil_Type,Soil_N_kg_ha,Soil_P_kg_ha,Soil_K_kg_ha,Soil_pH,Organic_Carbon_pct,Avg_Temperature_C,Rainfall_mm,Humidity_pct,Primary_Crop
Visakhapatnam,Rabi,Alluvial,111.4,67.5,83.7,7.9,0.77,21.3,532.6,75.8,Groundnut
Nandyal,Kharif,Coastal Sands,229.1,125.0,166.5,5.8,0.94,31.6,510.1,43.0,Oil Palm
Sri Satya Sai,Kharif,Laterite,20.2,21.3,19.9,7.0,0.7,21.3,462.0,88.0,Paddy
Bapatla,Kharif,Red,261.6,139.3,188.9,6.9,1.0,24.5,1031.2,64.3,Vegetables
Krishna,Zaid,Red,189.6,104.6,138.9,7.4,0.61,26.1,125.8,51.4,Turmeric
Parvathipuram Manyam,Rabi,Coastal Sands,101.4,58.8,75.5,8.3,1.15,20.0,978.9,58.6,Black Gram
NTR,Zaid,Black,40.4,29.4,34.2,8.1,0.81,30.1,445.1,71.3,Sorghum
Srikakulam,Kharif,Red,60.6,38.6,48.9,7.4,1.01,24.1,415.2,78.7,Finger Millet
Visakhapatnam,Zaid,Black,30.0,25.2,28.4,6.3,0.48,34.1,1154.5,43.5,Maize
Konaseema,Zaid,Black,180.8,102.1,132.1,8.0,0.52,29.7,1099.7,70.7,Chillies
NTR,Rabi,Laterite,130.1,73.6,97.1,6.7,1.02,32.6,197.9,51.2,Sunflower
Nandyal,Kharif,Red,71.0,45.6,54.1,5.6,0.91,20.9,1096.1,63.8,Bengal Gram
Sri Satya Sai,Zaid,Black,239.4,130.5,173.9,7.7,0.53,34.8,279.2,59.3,Cashew
Guntur,Zaid,Red,99.3,57.7,74.6,7.6,0.79,31.2,446.0,76.9,Cashew
Prakasam,Zaid,Alluvial,129.8,75.6,97.4,6.1,0.5,28.6,649.1,77.3,Sunflower
Anakapalli,Rabi,Black,230.4,124.9,166.5,8.0,1.19,21.9,125.3,42.8,Oil Palm
Srikakulam,Zaid,Coastal Sands,199.3,110.2,144.9,7.5,0.67,25.1,138.4,65.3,Banana
Guntur,Zaid,Black,109.5,64.8,84.4,6.7,0.37,28.5,272.2,50.7,Groundnut
Tirupati,Zaid,Alluvial,151.1,85.9,113.0,8.5,0.36,28.2,1154.4,83.8,Cotton
Konaseema,Rabi,Laterite,40.6,31.4,32.7,7.4,0.56,21.6,729.4,53.2,Sorghum
Kadapa,Zaid,Coastal Sands,108.7,65.4,84.1,6.0,0.54,33.4,846.1,69.4,Groundnut
Visakhapatnam,Zaid,Red,68.0,44.4,56.6,7.4,0.94,22.5,513.7,89.2,Bengal Gram
Sri Satya Sai,Kharif,Red,50.6,32.9,40.2,7.1,1.02,21.7,860.1,64.9,Pearl Millet
Kakinada,Zaid,Black,190.0,103.0,138.2,8.5,0.34,24.4,531.5,86.7,Turmeric
Kurnool,Kharif,Alluvial,99.8,59.7,73.9,7.8,0.58,34.1,896.5,49.0,Black Gram
Prakasam,Rabi,Alluvial,39.8,29.5,32.9,6.4,0.53,25.5,1174.9,42.7,Sorghum
East Godavari,Kharif,Coastal Sands,29.0,24.5,27.9,5.9,0.39,34.3,839.9,75.7,Maize
Nandyal,Zaid,Laterite,30.5,25.8,27.2,8.3,0.93,21.7,1080.0,64.3,Maize
Vizianagaram,Rabi,Alluvial,259.9,141.4,187.9,8.4,0.36,22.8,616.1,67.4,Vegetables
Anantapur,Kharif,Black,231.2,124.8,167.3,5.6,0.71,28.5,85.8,64.2,Oil Palm
Konaseema,Zaid,Coastal Sands,152.0,85.0,111.3,6.3,0.38,21.1,346.0,72.6,Cotton
Annamayya,Kharif,Red,199.3,110.7,146.6,8.0,0.9,31.0,493.2,87.7,Banana
Annamayya,Zaid,Coastal Sands,259.8,139.9,188.2,7.4,0.53,30.5,242.9,59.5,Vegetables
Alluri Sitharama Raju,Rabi,Black,148.1,85.5,112.4,7.4,0.38,26.5,1002.5,85.7,Cotton
Prakasam,Rabi,Alluvial,182.0,99.8,131.7,5.7,1.13,34.5,651.0,84.1,Chillies
NTR,Kharif,Alluvial,159.5,91.2,119.2,6.8,0.31,28.0,363.5,43.4,Sugarcane
Chittoor,Rabi,Alluvial,200.4,109.7,144.8,8.4,0.99,22.8,910.7,86.3,Banana
Annamayya,Kharif,Alluvial,150.9,84.3,109.8,8.3,0.75,34.5,939.0,68.0,Cotton
Kurnool,Rabi,Red,182.1,100.0,130.5,8.0,0.36,22.1,197.6,68.5,Chillies
Krishna,Zaid,Black,177.9,101.1,133.3,8.2,1.06,34.5,953.3,69.3,Chillies
Annamayya,Zaid,Laterite,170.4,96.0,125.9,7.9,0.41,22.3,423.8,61.7,Tobacco
Srikakulam,Zaid,Red,230.4,122.5,166.6,8.4,0.86,28.7,1100.2,51.8,Oil Palm
Nellore,Kharif,Laterite,220.4,118.5,160.0,5.7,0.79,30.6,244.5,84.0,Papaya
Nellore,Zaid,Alluvial,101.1,61.0,75.2,7.7,0.67,34.9,764.4,71.7,Black Gram
Nandyal,Rabi,Black,229.0,124.3,165.8,5.7,0.66,28.1,872.5,74.9,Oil Palm
Guntur,Rabi,Laterite,28.8,26.2,26.0,5.7,1.03,26.7,1058.2,46.7,Maize
Vizianagaram,Zaid,Black,31.6,26.5,29.6,6.4,0.76,29.3,292.4,58.1,Maize
Sri Satya Sai,Zaid,Red,248.7,135.0,181.8,5.7,0.93,27.0,1198.8,67.6,Coconut
Srikakulam,Rabi,Laterite,240.4,129.6,175.3,7.6,0.64,20.1,1127.5,81.0,Cashew
Palnadu,Rabi,Red,161.0,90.8,118.1,5.8,0.39,28.9,837.7,81.4,Sugarcane
NTR,Rabi,Red,88.7,56.1,68.4,6.0,0.94,24.0,193.8,54.0,Green Gram
Anantapur,Zaid,Black,50.9,34.1,41.6,6.6,0.32,32.8,941.6,76.1,Pearl Millet
Guntur,Zaid,Alluvial,101.4,59.3,75.0,5.5,1.19,31.3,1088.1,55.6,Black Gram
West Godavari,Zaid,Laterite,108.7,65.2,83.4,5.7,1.19,33.2,877.7,64.7,Groundnut
Srikakulam,Kharif,Red,179.8,99.9,131.5,7.9,0.87,32.8,1035.9,77.0,Chillies
Krishna,Zaid,Black,160.3,91.1,117.5,7.1,0.76,29.1,382.3,60.9,Sugarcane
Nandyal,Kharif,Red,61.2,39.6,48.1,5.7,1.12,20.8,464.4,60.5,Finger Millet
Nandyal,Rabi,Coastal Sands,48.6,36.2,40.6,6.6,0.33,34.9,621.4,69.9,Pearl Millet
Annamayya,Zaid,Black,67.5,46.4,54.5,5.7,0.99,31.7,266.4,78.8,Bengal Gram
Visakhapatnam,Zaid,Alluvial,119.8,70.3,89.3,6.0,0.89,29.6,211.3,76.5,Sesame
Alluri Sitharama Raju,Rabi,Alluvial,99.7,62.1,75.8,7.1,0.42,28.8,940.8,63.3,Black Gram
Parvathipuram Manyam,Zaid,Alluvial,49.5,34.4,40.2,6.1,0.92,24.0,1095.4,80.3,Pearl Millet
Anantapur,Kharif,Alluvial,261.9,140.2,186.6,7.7,0.63,27.2,135.0,49.7,Vegetables
Krishna,Rabi,Alluvial,160.1,89.6,116.2,5.6,0.92,26.1,1101.8,82.1,Sugarcane
Kakinada,Kharif,Coastal Sands,120.0,70.2,89.1,8.4,0.37,32.9,982.3,49.0,Sesame
Tirupati,Rabi,Red,260.0,141.1,188.2,6.2,0.47,20.5,1109.8,61.8,Vegetables
West Godavari,Rabi,Coastal Sands,40.6,30.4,34.1,7.8,0.3,29.4,316.9,46.4,Sorghum
Vizianagaram,Kharif,Coastal Sands,49.6,33.8,40.7,6.7,0.88,33.0,1018.4,84.8,Pearl Millet
Nandyal,Kharif,Alluvial,132.4,74.0,98.2,7.2,0.6,24.8,671.4,60.8,Sunflower
Kakinada,Zaid,Laterite,50.1,33.7,42.7,6.2,0.88,29.4,453.8,58.8,Pearl Millet
Alluri Sitharama Raju,Zaid,Coastal Sands,29.5,26.6,27.6,8.0,0.97,24.8,192.5,79.5,Maize
Prakasam,Kharif,Alluvial,149.7,84.1,112.2,6.4,0.39,31.0,529.5,45.9,Cotton
Srikakulam,Zaid,Alluvial,70.4,44.9,56.3,6.8,0.55,31.0,555.3,44.4,Bengal Gram
Sri Satya Sai,Rabi,Red,198.6,110.7,146.4,5.6,0.46,30.7,458.3,65.9,Banana
Eluru,Kharif,Black,220.1,119.7,159.4,7.6,0.63,31.2,791.9,58.0,Papaya
Tirupati,Zaid,Black,90.8,54.3,70.5,6.0,0.81,33.1,748.8,68.9,Green Gram
Anakapalli,Zaid,Black,150.4,84.5,112.1,7.1,1.17,24.8,328.4,81.8,Cotton
Konaseema,Rabi,Black,138.5,78.4,104.3,6.5,0.68,31.1,89.8,71.8,Sunflower
Kakinada,Zaid,Alluvial,149.8,85.4,112.1,7.3,0.94,24.8,431.0,40.9,Cotton
East Godavari,Zaid,Black,159.7,89.4,117.1,5.9,0.87,21.3,73.5,48.7,Sugarcane
Sri Satya Sai,Zaid,Laterite,141.4,79.8,103.2,6.1,0.7,30.5,522.3,69.7,Castor
Nandyal,Rabi,Laterite,160.8,90.6,118.8,5.8,0.97,32.6,335.1,51.0,Sugarcane
Kurnool,Zaid,Red,169.0,96.4,124.6,7.2,0.6,25.8,928.3,90.0,Tobacco
Eluru,Kharif,Alluvial,120.5,69.0,88.9,7.7,0.69,27.6,1194.1,53.3,Sesame
Prakasam,Zaid,Alluvial,231.3,125.1,167.1,8.1,0.82,24.4,1144.7,72.3,Oil Palm
Nandyal,Zaid,Alluvial,50.7,33.7,42.1,6.3,0.36,32.1,589.3,49.5,Pearl Millet
Kadapa,Kharif,Coastal Sands,80.1,50.6,60.6,8.0,0.71,27.4,430.9,87.8,Red Gram
Palnadu,Kharif,Laterite,109.0,63.1,81.9,8.0,1.1,29.4,106.7,47.2,Groundnut
Kakinada,Rabi,Laterite,200.4,109.8,146.2,6.2,0.41,27.8,226.4,51.2,Banana
NTR,Rabi,Laterite,91.3,56.3,67.8,7.2,0.51,28.7,423.0,50.0,Green Gram
Guntur,Kharif,Red,79.1,49.7,62.9,7.0,0.52,34.8,271.8,55.8,Red Gram
Anantapur,Rabi,Black,218.7,119.5,159.1,7.5,0.81,34.2,943.9,55.4,Papaya
Kadapa,Rabi,Red,119.5,70.8,89.8,7.8,0.95,34.9,113.7,72.0,Sesame
East Godavari,Rabi,Alluvial,139.9,79.7,104.5,7.6,0.33,23.2,418.4,81.3,Castor
Nandyal,Kharif,Alluvial,229.0,123.2,166.1,6.6,0.34,34.8,74.9,64.1,Oil Palm
Sri Satya Sai,Kharif,Red,149.3,83.9,110.0,7.3,0.88,30.4,552.7,57.7,Cotton
Anakapalli,Zaid,Laterite,39.8,27.5,34.5,7.6,0.81,32.1,644.4,60.3,Sorghum
Bapatla,Rabi,Red,110.3,66.7,82.8,6.1,0.52,20.0,372.6,46.7,Groundnut
Nellore,Kharif,Red,170.9,93.8,124.6,7.5,0.88,28.8,483.2,80.2,Tobacco
East Godavari,Rabi,Red,261.4,138.1,190.3,6.1,1.15,26.8,118.8,83.5,Vegetables
Anakapalli,Kharif,Black,89.2,53.2,70.1,7.7,0.8,29.9,71.7,76.9,Green Gram
Bapatla,Rabi,Red,249.3,133.6,181.3,8.3,1.02,26.5,688.3,47.5,Coconut
East Godavari,Kharif,Black,171.8,95.4,124.3,7.4,0.31,33.6,68.8,87.5,Tobacco
Kadapa,Rabi,Coastal Sands,131.5,74.4,96.9,5.9,1.17,31.9,914.1,51.9,Sunflower
Alluri Sitharama Raju,Zaid,Red,122.5,69.5,90.5,6.4,0.9,30.2,478.5,49.0,Sesame
Krishna,Zaid,Alluvial,250.0,134.8,179.8,7.0,1.07,25.9,304.9,56.1,Coconut
West Godavari,Kharif,Laterite,238.3,129.5,175.3,6.1,1.08,29.8,113.1,44.1,Cashew
Konaseema,Zaid,Black,169.8,93.8,124.3,6.4,1.06,28.8,223.9,53.3,Tobacco
West Godavari,Zaid,Red,59.4,39.3,48.6,8.0,0.87,33.4,1140.3,58.9,Finger Millet
Annamayya,Zaid,Coastal Sands,170.1,96.0,125.3,7.8,0.86,26.3,518.0,65.8,Tobacco
Guntur,Kharif,Black,240.5,129.8,174.7,6.9,0.68,32.2,948.9,68.5,Cashew
Anakapalli,Zaid,Alluvial,179.8,98.6,130.5,8.0,0.99,25.2,91.9,51.6,Chillies
Parvathipuram Manyam,Zaid,Coastal Sands,190.1,105.1,141.3,8.1,0.84,33.8,921.0,68.8,Turmeric
Anakapalli,Rabi,Red,81.2,50.9,61.3,7.8,1.11,32.9,852.5,55.1,Red Gram
Kadapa,Rabi,Alluvial,30.1,23.2,28.2,7.3,0.92,21.3,255.5,77.3,Maize
Prakasam,Zaid,Black,151.7,87.0,112.3,7.0,0.67,33.0,996.8,85.6,Cotton
Alluri Sitharama Raju,Zaid,Red,61.2,40.6,47.7,5.6,1.01,23.9,505.9,49.0,Finger Millet
Anakapalli,Kharif,Red,250.2,134.9,183.7,5.8,0.47,20.7,1178.0,59.1,Coconut
Eluru,Zaid,Red,89.5,53.0,66.6,8.1,0.66,26.3,1040.3,72.3,Green Gram
Nandyal,Rabi,Red,60.6,40.5,48.9,7.8,1.12,27.0,1150.0,81.4,Finger Millet
Prakasam,Zaid,Laterite,238.9,128.1,174.6,6.9,0.37,27.9,273.3,59.2,Cashew
Palnadu,Zaid,Red,160.7,89.5,118.7,8.3,0.89,28.2,814.7,62.9,Sugarcane
Palnadu,Rabi,Black,60.6,40.3,48.9,7.4,1.11,26.1,212.4,70.8,Finger Millet
Guntur,Rabi,Coastal Sands,180.2,99.4,133.6,6.3,0.72,21.8,692.0,89.2,Chillies
Konaseema,Kharif,Coastal Sands,31.0,25.5,25.1,7.7,0.43,20.5,945.6,87.5,Maize
Kurnool,Kharif,Alluvial,49.7,34.4,40.6,8.3,0.36,32.7,880.9,69.1,Pearl Millet
Palnadu,Kharif,Black,160.7,90.5,117.4,6.5,1.1,28.6,387.8,83.0,Sugarcane
West Godavari,Rabi,Alluvial,40.4,28.7,35.1,5.6,0.55,31.9,783.4,51.6,Sorghum
Bapatla,Zaid,Coastal Sands,69.5,45.1,52.8,8.5,0.67,23.0,111.4,40.8,Bengal Gram
Chittoor,Rabi,Black,51.7,34.5,41.3,8.1,0.92,34.9,546.4,89.8,Pearl Millet
Kadapa,Rabi,Coastal Sands,198.7,109.8,147.0,6.6,1.11,31.3,185.7,52.1,Banana
Konaseema,Rabi,Red,20.4,18.7,17.4,6.3,0.98,20.0,531.7,42.1,Paddy
Nandyal,Zaid,Black,78.9,49.0,60.4,7.7,1.16,24.9,1017.3,65.0,Red Gram
Prakasam,Zaid,Black,230.2,125.9,167.1,7.6,0.51,26.0,622.3,69.0,Oil Palm
Anakapalli,Rabi,Laterite,250.5,133.8,180.3,6.2,0.66,21.3,744.0,64.7,Coconut
Bapatla,Rabi,Coastal Sands,140.0,79.1,104.7,6.2,0.94,33.0,876.7,79.8,Castor
Anakapalli,Kharif,Black,169.9,96.2,125.0,6.9,0.35,33.9,594.9,79.4,Banana
Kakinada,Rabi,Laterite,180.2,99.0,132.4,7.9,0.62,33.0,596.9,66.4,Chillies
Sri Satya Sai,Kharif,Red,20.4,19.8,18.3,5.6,0.5,27.0,1104.3,89.4,Paddy
NTR,Zaid,Laterite,179.8,100.7,130.5,6.7,0.83,33.5,792.5,49.8,Chillies
Konaseema,Rabi,Coastal Sands,180.5,100.3,131.6,8.3,0.45,31.2,292.6,49.6,Chillies
Prakasam,Rabi,Red,20.9,20.7,19.7,6.8,0.34,21.6,432.8,78.0,Paddy
Chittoor,Rabi,Alluvial,240.0,131.2,173.7,8.3,0.55,30.3,323.3,60.7,Cashew
Annamayya,Kharif,Coastal Sands,20.9,21.4,19.8,7.3,1.06,22.2,849.1,84.4,Paddy
West Godavari,Kharif,Alluvial,69.2,44.2,54.9,8.0,0.44,34.7,913.1,79.5,Bengal Gram
NTR,Kharif,Alluvial,189.5,105.5,139.2,7.2,0.56,21.8,108.3,42.3,Turmeric
NTR,Zaid,Alluvial,20.5,20.8,19.5,5.7,0.42,23.5,364.8,64.9,Paddy
West Godavari,Kharif,Alluvial,90.5,55.1,70.7,5.5,0.97,31.7,893.9,52.1,Green Gram
West Godavari,Rabi,Coastal Sands,228.9,126.2,167.6,6.8,1.19,23.8,247.9,82.1,Oil Palm
Palnadu,Zaid,Red,179.3,101.5,132.9,6.8,1.02,33.5,67.5,51.6,Chillies
Prakasam,Kharif,Coastal Sands,219.0,120.2,161.9,7.1,0.79,26.5,241.4,71.0,Papaya
Anantapur,Zaid,Black,170.4,95.5,123.4,7.2,0.44,27.0,63.2,81.7,Tobacco
Kakinada,Kharif,Coastal Sands,149.6,83.4,111.1,7.8,1.04,23.5,1051.9,52.0,Cotton
West Godavari,Rabi,Coastal Sands,30.7,25.1,26.4,7.7,0.98,28.1,660.5,54.7,Maize
Parvathipuram Manyam,Kharif,Coastal Sands,200.1,109.2,144.3,7.9,1.19,24.7,954.3,57.7,Banana
Anakapalli,Zaid,Red,19.2,20.4,19.1,6.3,0.93,20.7,390.3,86.8,Paddy
Parvathipuram Manyam,Kharif,Laterite,158.3,88.5,117.4,7.0,0.41,29.8,740.8,80.9,Sugarcane
Chittoor,Kharif,Coastal Sands,129.4,73.2,98.6,6.2,0.78,34.8,336.1,60.8,Sunflower
Anakapalli,Zaid,Red,130.2,75.1,96.6,5.6,1.11,20.8,482.2,64.9,Sunflower
Parvathipuram Manyam,Zaid,Red,229.5,123.6,167.1,7.5,0.89,31.7,977.5,51.8,Oil Palm
Bapatla,Kharif,Coastal Sands,90.3,55.8,68.2,8.1,1.01,34.5,527.8,53.1,Green Gram
Kadapa,Kharif,Alluvial,19.7,18.6,20.9,7.2,0.95,30.3,69.6,44.2,Paddy
Palnadu,Kharif,Alluvial,168.3,94.8,124.2,6.2,0.83,21.5,339.0,72.7,Tobacco
West Godavari,Zaid,Laterite,189.1,104.4,139.4,6.2,0.68,23.2,599.2,60.4,Turmeric
Anantapur,Kharif,Coastal Sands,120.3,70.7,89.2,5.5,0.68,32.6,85.3,84.9,Sesame
Parvathipuram Manyam,Kharif,Alluvial,121.4,70.5,89.9,7.4,0.57,23.9,453.8,81.7,Sesame
Palnadu,Kharif,Red,130.1,75.2,96.8,7.3,1.01,20.1,739.3,85.6,Sunflower
East Godavari,Kharif,Red,20.8,19.3,20.3,7.6,0.65,22.8,598.0,83.0,Paddy
Kakinada,Zaid,Alluvial,200.4,110.2,146.5,8.0,0.35,20.2,300.8,61.0,Banana
Vizianagaram,Rabi,Black,151.3,85.4,111.8,5.6,0.68,29.9,724.3,83.0,Cotton
Anantapur,Zaid,Coastal Sands,30.0,23.1,28.7,8.0,0.64,31.5,888.1,83.9,Maize
Krishna,Zaid,Laterite,131.1,73.6,95.6,6.0,0.91,30.4,437.0,50.3,Sunflower
Visakhapatnam,Kharif,Alluvial,30.7,24.3,27.7,6.0,0.86,21.7,200.0,80.9,Maize
Eluru,Rabi,Alluvial,261.1,139.6,188.5,8.4,0.93,27.0,1119.8,53.8,Vegetables
Krishna,Rabi,Black,228.8,125.9,166.0,6.7,0.59,27.4,63.2,59.9,Oil Palm
Alluri Sitharama Raju,Rabi,Coastal Sands,21.9,21.2,19.7,6.8,0.75,22.2,84.1,87.2,Paddy
Guntur,Zaid,Laterite,171.7,94.3,125.1,7.1,0.99,23.8,1035.3,51.8,Tobacco
East Godavari,Kharif,Laterite,249.1,133.6,180.3,6.1,1.19,27.6,254.3,47.2,Coconut
Guntur,Zaid,Red,190.7,107.3,138.5,6.6,0.68,34.5,110.5,60.9,Turmeric
Guntur,Zaid,Black,81.5,50.4,60.9,8.0,0.38,34.6,804.4,74.8,Red Gram
Srikakulam,Kharif,Red,90.3,54.7,69.0,6.0,1.01,22.6,487.2,49.3,Green Gram
Krishna,Rabi,Red,170.8,95.7,125.8,6.9,0.47,25.2,790.7,58.8,Tobacco
Kadapa,Rabi,Coastal Sands,129.2,73.3,97.5,5.5,0.61,29.7,177.0,74.3,Sunflower
Anakapalli,Rabi,Laterite,240.4,131.6,173.9,5.7,1.04,34.9,1022.9,76.9,Bengal Gram
Parvathipuram Manyam,Kharif,Red,150.4,85.3,110.9,5.9,1.15,20.3,661.3,69.0,Cotton
Guntur,Kharif,Alluvial,131.0,74.4,96.3,8.1,0.43,32.7,426.2,50.6,Sunflower
Konaseema,Zaid,Red,260.3,138.1,187.8,8.2,0.38,25.8,1108.7,51.6,Vegetables
Anakapalli,Kharif,Coastal Sands,159.5,90.8,118.5,8.4,0.92,23.3,144.9,41.4,Sugarcane
Sri Satya Sai,Zaid,Laterite,29.4,23.5,27.2,8.1,0.8,22.9,416.6,57.9,Maize
Srikakulam,Kharif,Alluvial,20.6,18.8,19.8,5.6,0.35,28.2,1042.6,70.4,Paddy
NTR,Kharif,Black,209.2,115.0,152.6,6.2,0.93,32.3,446.3,64.6,Mango
Krishna,Kharif,Black,109.7,65.4,83.8,5.8,0.32,33.6,349.3,88.6,Groundnut
Konaseema,Kharif,Laterite,181.2,98.8,132.6,7.7,0.63,31.4,556.6,69.8,Chillies
Anantapur,Kharif,Coastal Sands,60.2,38.9,47.6,7.9,0.32,24.3,881.4,84.5,Finger Millet
Bapatla,Rabi,Black,141.5,80.7,104.7,5.8,0.42,32.0,1053.8,57.5,Castor
Konaseema,Zaid,Coastal Sands,50.0,36.5,40.6,6.3,1.16,20.0,412.4,54.2,Pearl Millet
Eluru,Kharif,Red,109.9,64.9,84.4,7.5,0.53,25.6,626.8,42.0,Groundnut
Konaseema,Rabi,Black,189.2,103.4,137.9,8.4,0.72,29.8,171.6,76.2,Turmeric
Chittoor,Kharif,Black,190.7,104.8,140.9,7.8,0.52,20.6,374.8,75.1,Turmeric
Kadapa,Rabi,Coastal Sands,238.3,130.0,172.5,6.3,1.04,20.0,1173.5,56.2,Cashew
Krishna,Rabi,Coastal Sands,261.0,139.9,187.2,6.2,0.7,30.0,413.6,44.5,Vegetables
East Godavari,Rabi,Red,180.1,100.9,131.3,7.8,0.71,24.8,856.7,40.7,Green Gram
West Godavari,Kharif,Laterite,28.8,22.5,27.1,8.4,0.37,34.1,1073.6,75.4,Maize
Nandyal,Kharif,Laterite,40.6,29.8,34.6,6.1,1.07,33.1,557.0,79.1,Sorghum
Eluru,Rabi,Red,100.1,59.2,75.2,6.4,0.8,26.7,534.4,50.2,Black Gram
Visakhapatnam,Zaid,Black,39.1,29.7,32.1,6.7,0.54,34.6,1178.7,80.6,Sorghum
Alluri Sitharama Raju,Rabi,Black,198.9,108.4,144.7,7.1,1.1,31.9,930.2,63.6,Banana
Visakhapatnam,Rabi,Alluvial,189.9,106.7,138.8,8.4,0.95,29.0,526.8,78.2,Turmeric
Krishna,Rabi,Laterite,219.9,122.2,159.3,5.9,0.94,22.5,691.8,87.3,Banana
Parvathipuram Manyam,Rabi,Coastal Sands,79.8,49.0,62.4,5.8,1.11,29.6,793.7,64.6,Red Gram
Anantapur,Kharif,Coastal Sands,39.9,30.4,33.1,5.9,0.5,32.8,1110.0,52.1,Sorghum
Srikakulam,Kharif,Red,158.6,89.0,117.7,8.0,0.76,24.5,903.0,47.9,Sugarcane
NTR,Zaid,Red,229.1,123.8,165.3,6.9,0.87,32.2,695.8,54.2,Oil Palm
Tirupati,Kharif,Black,132.0,75.9,98.1,8.1,1.11,27.3,1000.8,66.7,Sunflower
Parvathipuram Manyam,Zaid,Coastal Sands,99.0,59.0,76.9,7.0,0.62,33.6,1008.7,50.8,Black Gram
Tirupati,Rabi,Coastal Sands,139.4,80.8,102.9,7.3,1.18,29.7,728.9,53.7,Castor
Kurnool,Zaid,Laterite,129.8,74.9,97.9,6.0,0.39,25.2,1133.9,78.5,Sunflower
Anakapalli,Rabi,Red,219.2,121.0,160.7,7.8,1.11,25.6,950.5,76.0,Papaya
Guntur,Rabi,Coastal Sands,110.4,65.6,84.4,8.5,0.55,23.3,349.0,75.0,Groundnut
Bapatla,Kharif,Red,30.6,24.1,28.9,5.9,0.39,22.3,444.5,56.9,Maize
Konaseema,Zaid,Laterite,49.3,35.2,41.4,5.5,1.13,23.9,1118.0,68.9,Pearl Millet
Bapatla,Rabi,Laterite,151.5,84.1,113.3,7.8,0.76,23.6,415.4,70.2,Cotton
Prakasam,Kharif,Coastal Sands,38.9,30.7,35.1,6.6,0.66,33.1,685.8,75.6,Sorghum
Alluri Sitharama Raju,Zaid,Black,20.3,18.4,21.0,8.3,0.63,32.6,1195.9,55.4,Paddy
Alluri Sitharama Raju,Rabi,Red,209.2,113.5,153.2,6.9,0.43,31.3,919.8,55.7,Mango
NTR,Kharif,Laterite,49.9,34.6,39.5,7.4,0.56,32.4,364.1,51.4,Pearl Millet
Eluru,Kharif,Alluvial,167.8,93.2,124.0,6.1,0.38,30.3,1163.5,45.8,Tobacco
Guntur,Kharif,Laterite,189.5,103.7,137.3,8.5,0.48,27.2,861.5,80.1,Turmeric
Palnadu,Kharif,Red,150.3,84.6,110.4,6.4,0.83,31.4,141.8,63.7,Cotton
Krishna,Zaid,Laterite,260.0,141.1,188.1,8.3,1.12,33.8,467.7,68.3,Vegetables
Vizianagaram,Zaid,Alluvial,139.1,81.8,102.6,5.9,1.0,25.9,223.9,82.8,Castor
Tirupati,Rabi,Coastal Sands,119.5,70.8,90.8,8.1,0.98,32.1,849.4,87.1,Sesame
East Godavari,Rabi,Black,130.7,74.7,96.8,6.8,1.17,21.8,589.1,72.4,Sunflower
Srikakulam,Rabi,Red,131.2,74.3,96.3,5.7,0.9,33.1,374.6,43.9,Sunflower
East Godavari,Rabi,Black,60.3,42.5,47.3,5.7,0.39,27.6,986.4,83.1,Finger Millet
Kadapa,Kharif,Black,49.5,33.7,40.4,6.1,0.42,29.0,1033.8,82.7,Pearl Millet
Vizianagaram,Rabi,Alluvial,249.4,132.3,180.8,5.7,0.78,26.2,650.2,60.7,Coconut
Srikakulam,Zaid,Alluvial,220.6,118.3,159.2,8.1,0.71,33.3,675.8,46.9,Papaya
Eluru,Kharif,Red,199.4,110.3,145.7,7.7,0.37,31.2,360.6,49.0,Banana
Kurnool,Rabi,Laterite,181.6,98.6,132.3,8.3,0.44,25.1,437.9,40.2,Chillies
Krishna,Zaid,Black,120.9,67.8,90.9,7.7,0.97,25.6,303.5,79.9,Sesame
NTR,Zaid,Alluvial,209.5,116.2,153.1,5.5,0.53,24.2,840.5,56.0,Mango
Alluri Sitharama Raju,Kharif,Alluvial,211.2,115.0,153.3,6.7,0.77,31.0,1097.2,74.4,Mango
Kakinada,Zaid,Black,213.5,116.1,155.1,6.0,0.82,21.5,438.6,67.4,Mango
Alluri Sitharama Raju,Zaid,Laterite,260.6,138.4,188.1,8.2,0.46,20.6,424.0,46.7,Vegetables
Chittoor,Rabi,Alluvial,80.2,50.9,61.9,8.4,0.88,28.4,1175.6,82.7,Red Gram
Nandyal,Zaid,Coastal Sands,179.5,99.2,131.5,6.0,1.06,30.1,1102.7,64.3,Chillies
Prakasam,Zaid,Coastal Sands,200.4,108.5,143.5,6.6,0.4,33.3,322.2,87.2,Banana
Kakinada,Zaid,Coastal Sands,118.4,71.1,90.5,7.2,0.98,31.1,294.6,68.3,Sesame
Tirupati,Rabi,Black,79.9,49.8,61.1,7.5,1.14,34.2,580.2,84.0,Red Gram
Chittoor,Zaid,Black,99.7,59.0,75.1,7.0,0.97,31.0,471.7,71.3,Black Gram
NTR,Rabi,Laterite,81.2,49.2,62.3,5.8,0.78,31.3,752.5,72.5,Red Gram
Parvathipuram Manyam,Rabi,Red,159.2,89.1,118.4,7.7,0.76,21.5,1191.5,64.0,Sugarcane
Palnadu,Rabi,Red,149.3,85.6,111.0,7.3,0.5,27.9,923.5,61.1,Cotton
Vizianagaram,Rabi,Black,189.7,104.3,139.5,8.0,1.12,30.8,1194.9,48.0,Turmeric
